标题,发表年月,一作,一作单位,通讯,通讯单位,宏观维度,应用维度,具身任务,解决的问题,贡献,关联性（为什么这篇论文属于你选择的分类）,方法论,发表情况,链接,负责人,备注/讨论点,父记录
RoboGround: Robotic Manipulation with Grounded Vision-Language Priors,25.04,Haifeng Huang; Xinyi Chen,"ZJU, PJLAB",Yilun Chen; ZhouZhao,"PJLAB, ZJU",可靠,物理交互,"Manipulation, VLA",现有机器人策略在面对新物体、新指令或复杂场景时泛化能力差的问题,提出了一个名为ROBOGROUND的系统，它利用接地的分割掩码来指导策略网络。同时，他们构建了一个能自动生成大规模、多样化和复杂场景的仿真数据管道，并验证了该方法能显著提升机器人在新场景下的泛化能力,在复杂的仿真环境中执行物理操作任务，其核心目标是利用分割掩码作为引导，显著提升机器人策略在面对未见过物体和复杂指令时的成功率和泛化能力,", MLLM, 预训练, 指令微调",,https://arxiv.org/abs/2504.21530,包亦晟,,
HAMSTER: Hierarchical Action Models For Open-World Robot Manipulation,25.05,"Yi Li, Yuquan Deng, Jesse Zhang","NVIDIA, University of Washington, University of Southern California","Anqi Li, Abhishek Gupta, Ankit Goyal","NVIDIA, University of Washington",可靠,物理交互,Manipulation,如何通过利用廉价、丰富的非本域（off-domain）数据（如网络视频、仿真数据），来提升机器人在开放世界操作任务中的泛化能力和任务成功率？,提出了一种名为HAMSTER的分层动作模型，其中一个高层VLM负责从非本域数据中学习并生成一个粗略的2D任务路径作为指导，一个底层策略则根据此路径执行精确的3D物理动作，从而显著提升了机器人在面对新颖场景和指令时的任务成功率。,"物理交互方面: 论文的核心是研究一个机器人物理操作系统。智能体在真实的物理世界（使用Franka Panda机械臂）和高保真仿真环境（RLBench）中执行一系列有目的的操作任务，例如“拿起青椒并放入红碗中”、“按下按钮”、“打开抽屉”、“擦拭桌面”等（如图4、图5、图8所示）。这些都是典型的、与环境进行直接物理交互的具身智能任务。
可靠性方面: 本文的核心贡献在于提升机器人完成指定任务的成功率 (success rate) 和泛化能力 (generalization)，这完全符合“可靠性”的定义。论文的摘要明确指出，其方法相比基线OpenVLA在真实机器人实验中“实现了平均20%的成功率提升，相当于50%的相对增益”。图4的实验结果详细展示了HAMSTER在多个泛化维度（如新物体、新视觉环境、新语言指令）上的成功率均显著高于基线模型。整个研究的动机和评估指标都聚焦于如何让机器人更准确、更鲁棒地完成任务（达成正面目标），而非避免碰撞或损坏等负面后果（安全性）。","MLLM, 模仿学习, 离线学习, 指令微调, 预训练, 规划算法",,https://arxiv.org/pdf/2502.05485,包亦晟,,
RoboBERT: An End-to-end Multimodal Robotic Manipulation Model,25.05," Sicheng Wang, Sheng Liu, Weiheng Wang","Casbot Robotic Corporation, Karlsruhe Institute of Technology",Bin Fang,Beijing Universuty of Post and Telecommunicate,,,Manipulation,如何在不依赖大规模预训练或微调数据的情况下，提升多模态机器人操作模型在面对多样化语言指令和视觉扰动时的策略稳定性和任务成功率？,提出了一种名为RoboBERT的模型，其核心是一个新颖的两阶段训练范式：第一阶段用标准化的指令稳定地学习一个基础策略，第二阶段再解冻所有模块，用多样化的自然语言指令对齐到已学好的策略上，结合数据增强，从而高效地提升了模型的鲁棒性和最终性能。,"物理交互方面: 该论文研究的RoboBERT模型是一个端到端的机器人操作模型。它在标准的仿真基准测试（CALVIN）和真实世界的6自由度机械臂（REALMAN RM65B）上执行了一系列有目的的物理动作。这些任务包括长序列的物体转移、开合抽屉、堆叠方块等（见图4和表4），这些都是典型的物理交互任务。
可靠性方面: 本文的核心目标是提升任务执行的成功率、效率（以平均任务长度衡量）和对扰动的鲁棒性，完全符合“可靠性”的定义。摘要明确指出，其方法旨在“增强对视觉扰动的鲁棒性”，并“在真实机器人试验中证实了比同类方法更高的成功率”。实验结果有力地支撑了这一点：
在CALVIN基准测试中，RoboBERT在ABCD→D和ABC→D两个设置上均取得了SOTA的平均任务长度（分别为4.52和3.79），直接反映了更高的任务完成效率和成功率（表1和表2）。
在真实机器人实验中，RoboBERT在多项顺序任务和独立任务上的成功率均显著高于基线模型RT-1和MT-ACT（表4）。
论文的消融实验（表3）也清晰地展示了其提出的两阶段训练法和数据增强技术如何直接提升最终的任务性能。整个研究聚焦于如何让机器人更稳定、更准确地完成任务，属于典型的可靠性范畴。","MLLM, Diffusion, ViT, 离线学习, 模仿学习, 指令微调, 预训练",,https://arxiv.org/pdf/2502.07837,包亦晟,,
VLA-RL: Towards Masterful and General Robotic Manipulation with Scalable Reinforcement Learning,25.05,Guanxing Lu,"Tsinghua Shenzhen International Graduate School,  Tsinghua University",Yansong Tang,"Tsinghua Shenzhen International Graduate School,  Tsinghua University",,,Manipulation,如何利用在线强化学习（RL）来克服仅依赖离线模仿学习的VLA（视觉-语言-动作）模型在面对分布外（OOD）场景时容易失败的局限性，从而提升其任务成功率和泛化能力？,提出了一个名为VLA-RL的可扩展强化学习框架，通过将机器人操作任务建模为多模态多轮对话，并利用一个自动生成的伪标签训练的机器人过程奖励模型（Robotic Process Reward Model）来解决稀疏奖励问题，从而有效地利用在线RL来提升预训练VLA模型的性能。,"物理交互方面: 该论文研究的智能体是一个基于OpenVLA模型的机器人，在LIBERO仿真基准中执行复杂的物理操作任务。这些任务包括“拿起橙汁并放入篮子”、“把酒瓶放到架子上”等（见图1和图3），这些都是有目的的、与物理世界或高保真模拟环境进行交互的动作。
可靠性方面: 本文的核心目标是通过在线探索和学习，提升机器人完成指定任务的成功率 (success rate) 和鲁棒性 (robustness)，这完全符合“可靠性”的定义。论文明确指出，仅依赖离线数据的模仿学习方法在OOD场景下会导致失败，而其提出的在线RL方法旨在解决此问题。实验结果（表1）清晰地证明了这一点：VLA-RL在LIBERO基准上的平均成功率达到了81.0%，显著高于其模仿学习基线（OpenVLA SFT）的76.5%。图4的测试时伸缩曲线（Test-time Scaling Curve）也表明，随着RL训练的进行，任务成功率持续稳定提升。整个研究聚焦于如何让智能体更可靠地完成任务（达成正面目标），而非避免负面后果（安全性）。","MLLM, 强化学习, 模仿学习, 在线学习, 离线学习, 预训练, 指令微调",,https://arxiv.org/pdf/2505.18719,包亦晟,,
"Think Small, Act Big: Primitive Prompt Learning for Lifelong Robot Manipulation",25.06," Yuanqi Yao, Yan Ding, Siao Liu, Bin Zhao, Haoming Song","PJLAB, FDU, SJTU, INSAIT,  Sofia University"," Dong Wang",PJLAB,,,Manipulation,如何让机器人在持续学习新操作技能时，通过学习和利用可复用的“运动基元”（motion primitives），来克服灾难性遗忘，并保持对旧技能的执行成功率？,提出了一个名为“基元提示学习”（PPL）的两阶段框架。该框架通过一个“运动感知提示”机制来学习代表跨技能共享知识的“基元提示”，并在学习新技能时，通过优化新的提示同时冻结旧的提示，从而有效转移知识并保持旧技能的性能。,"物理交互方面: 论文研究的智能体是一个机器人操作臂（Franka Panda），在仿真（MimicGen, LIBERO）和真实世界中执行一系列有目的的物理操作任务。这些任务包括“放置方块”、“抓取香蕉”、“打开抽屉”、“放置杯子”等（如图1, 2, 4, 5所示），这些都是典型的、与物理世界直接交互的具身智能任务。
可靠性方面: 本文的核心目标是解决终身学习中的“灾难性遗忘”问题，这直接关系到智能体在持续学习过程中的可靠性。一个会遗忘旧技能的智能体是不可靠的。论文通过提出的PPL框架，致力于维持甚至提升机器人对所有已学习技能的平均成功率。
核心指标： 论文使用后向迁移权重（BWT）作为关键评估指标之一，该指标直接衡量学习新任务后对旧任务性能的影响。一个高的BWT意味着机器人能很好地保持旧技能，即可靠性高。
实验结果： 表1和表2的数据清晰地表明，PPL框架在FWT（前向迁移）和BWT（后向迁移/抗遗忘）指标上均优于基线方法，这意味着它不仅能更好地学习新技能，还能更可靠地记住旧技能。例如，在表1中，PPL的平均BWT为-0.46，而基线方法低至-0.56，显示出更强的性能保持能力。整个研究聚焦于如何让智能体随着时间的推移，稳定、成功地完成越来越多的任务，这完全符合“Do the Thing Right”的定义。","Diffusion, 离线学习",,https://arxiv.org/pdf/2504.00420,包亦晟,,
,,,,,,,,,,,,,,,包亦晟,,
Legal and Ethical Consideration in Artificial Intelligence in Healthcare: Who Takes Responsibility?,22.3,Nithesh Naik,Manipal Academy of Higher Education,,,价值,"指令理解, 决策规划",survey,文章探讨了人工智能在医疗领域应用中的法律与伦理责任归属问题，并提出了确保算法透明、公平和合规的框架，以平衡技术创新与患者安全。,"该研究为医疗AI的伦理治理和责任划分提供了系统性框架，强调技术发展必须符合""做正确的事""的核心价值观，确保算法透明、公平且合法。","这篇文章为医疗AI的伦理治理提供了责任框架，强调技术发展必须符合""做正确的事""（Do the right thing）的核心价值观，确保算法透明、公平且合法。",综述,,https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.862322/full?gclid=Cj0KCQi,郜振焜,,
"Security Considerations in AI-Robotics:
A Survey of Current Methods,
Challenges, and Opportunities",24.01,SUBASH NEUPANE,Mississippi State University,Subash Neupane,Mississippi State University,价值,"指令理解, 环境感知, 物理交互","survey, Manipulation",这篇文章全面综述和分类人工智能与具身智能融合系统中的安全问题，以增强这些系统在攻击表面、伦理法律问题以及人机交互安全三个维度上的整体安全性，从而为相关利益相关者提供指导，确保AI-Robotics系统的可靠和安全应用。,论文提出了一个全面的分类体系，围绕攻击表面、伦理和法律问题以及人机交互安全三个维度，为增强AI-Robotics系统的安全性提供了全面的视角和指导。,论文提出了一个围绕攻击表面、伦理和法律问题以及人机交互安全三个维度的分类体系，为增强AI-Robotics系统的安全性提供了全面的视角和指导，这与“做对的事情”所蕴含的价值观相契合，有助于确保这些系统的发展和应用符合社会伦理、道德和法律要求,"综述, MLLM",,https://arxiv.org/pdf/2310.08565,郜振焜,,
"Disability 4.0: bioethical considerations on the use of embodied artificial intelligence

",24.08,Francesco De Micco,University Campus Bio-Medico of Rome,Roberto Scendoni,"University of Macerata,  Macerata",价值,"指令理解, 环境感知, 决策规划, 物理交互","survey, Manipulation",这篇文章探讨了具身人工智能在残疾人护理中的应用所引发的生物伦理问题，目的是确保这些技术在尊重人的自主性、尊严和平等的前提下，负责任地用于改善残疾人的生活。,这篇文章的贡献在于它通过深入的伦理分析，揭示了具身人工智能在残疾人护理中可能带来的风险和挑战，并提出了一系列具体的伦理建议和实践指南，以确保这些技术的应用能够尊重和保护残疾人的自主性、尊严和平等权利，从而推动一个更加公平、包容和人道的医疗保健环境。,这篇文章从伦理、法律、公平等多个维度，为具身人工智能在残疾人护理中的应用提供了全面的伦理分析和实践建议，有助于确保这些技术的使用符合社会伦理、道德和法律的要求，从而促进公平、包容和尊重个体价值的医疗实践。,综述,,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2024.1437280/full,郜振焜,,
"Humanoid Robots in Tourism and Hospitality—Exploring Managerial, Ethical, and Societal Challenges",24.12,Ida Skubis,Silesian University of Technology,Agata Mesjasz-Lech,Czestochowa University of Technology,价值,"环境感知, 决策规划, 物理交互",survey,这篇文章探讨了人形机器人在旅游和酒店行业的应用，目的是解决如何在实现技术创新和提升服务效率的同时，确保伦理道德的遵循、法律法规的合规以及对社会价值的维护，以实现技术与人文的平衡发展。,文章通过分析人形机器人在旅游和酒店行业的应用，提供了关于其伦理、法律和社会影响的深入见解，为行业实践和政策制定提供了理论支持，促进了对技术与人文平衡发展的讨论。,文章通过深入分析人形机器人在旅游和酒店行业的应用，揭示了其在提升服务效率和质量的同时，如何确保符合伦理、法律和社会价值，为行业提供了在技术与人文之间寻求平衡的理论依据和实践指导。,综述,,https://www.mdpi.com/2076-3417/14/24/11823,郜振焜,,
From Screens to Scenes: A Survey of Embodied AI in Healthcare,25.03,Yihao Liu,Central South University,", Jintai Chen",HKUST(Guangzhou),价值,"指令理解, 环境感知, 决策规划, 物理交互",survey,这篇文章全面综述了具身智能在医疗保健领域的应用、技术基础、挑战和未来发展方向，目的是推动EmAI技术在医疗保健中的创新和实践，以提高医疗效率、可及性和个性化水平。,,这篇文章强调了在开发和应用具身智能技术时，必须遵循社会伦理、法律和公平原则，以确保其符合社会价值（value），避免偏见和不公，从而推动医疗保健领域的技术进步和社会福祉。,综述,,https://arxiv.org/abs/2501.07468,郜振焜,,
Embodied artificial intelligence in ophthalmology,25.06,Yao Qiu,The Hong Kong Polytechnic University,Mingguang He,The Hong Kong Polytechnic University,价值,指令理解,survey,这篇文章探讨了具身智能在眼科领域的应用潜力，同时着重讨论了其在数据、解释和伦理方面面临的挑战，并为具身智能的临床整合指明了未来方向。,这篇文章的贡献在于为具身智能在眼科领域的临床应用提供了伦理和价值层面的指导，强调了在技术发展过程中确保符合社会伦理、法律规范和公平性的重要性。,这篇文章强调了具身人工智能在眼科领域应用中应遵循的价值观（value），包括伦理（ethic）、法律（legal）、公平（fair）等方面，为具身智能技术的负责任发展和临床应用提供了重要的伦理和价值指引。,综述,Nature子刊npj | digital medicine,https://www.nature.com/articles/s41746-025-01754-4.pdf,郜振焜,,
,,,,,,,,,,,,,,,郜振焜,,
,,,,,,,,,,,,,,,郜振焜,,
SafeBench: A Benchmarking Platform for Safety Evaluation of Autonomous Vehicles,22.06,Chejian Xu,UIUC,,,"无害, 可靠","环境感知, 决策规划",Auto Drive,尽管在自动驾驶测试方面付出了大量努力，但在相似条件下比较和理解不同测试场景生成算法和测试机制的有效性和效率仍然具有挑战性。,"统一的评估平台: 提供了1. 首个集成了多种场景生成算法（如对抗性生成、基于知识生成）和安全关键场景模板（遵循NHTSA标准）的统一自动驾驶安全评估平台。
2. 全面的场景覆盖: 整合了8种典型的预碰撞（pre-crash）场景，并为每种场景设计了10种路线变体和4种生成算法，共产生了超过2000个测试场景，实现了对罕见但致命的“角落案例”的有效测试。
3. 多层次评估体系: 建立了包含安全性、功能性和礼仪性三个层次、共10项细分指标的综合评估体系，可以对自动驾驶算法进行全方位诊断。",这是一篇Bench文章，其核心是为自动驾驶领域的“无害性”和“可靠性”提供了系统性的评估方法。 SafeBench通过程序化生成大量现实世界中罕见的、危险的“角落案例”，直接解决了如何有效评估自动驾驶系统在极端情况下的无害性（不碰撞）和可靠性（完成驾驶任务）的难题,"Benchmark, ROS",NIPS2022 Track on Datasets and Benchmarks.,https://arxiv.org/pdf/2206.09682,刘邦威,,
