标题,文章简称,\cite{},发表年月,10大原则,4个阶段,一作,一作单位,通讯,通讯单位,具身任务,方法论,发表情况,链接,备注/讨论点,父记录
Active SLAM With Dynamic Viewpoint Optimization for Robust Visual Navigation,Li et al.,li2025active,25.06,"可信-准确, 可信-可靠",环境感知,Peng Li,Chinese Academy of Sciences,Zhengxing Wu,University of Chinese Academy of Sciences,Navigation,SLAM,IEEE Transactions on Instrumentation and Measurement 2025,https://ieeexplore.ieee.org/abstract/document/11037221,,
Adversarial Attacks and Detection in Visual Place Recognition for Safer Robot Navigation,Malone et al.,malone_adversarial_2025,25.01,"安全-抗攻击, 安全-防滥用",环境感知,Connor Malone,Queensland University of Technology,Michael Milford,Queensland University of Technology,Visual Place Recognition,"adversarial attack, Defence",IROS 2025,https://arxiv.org/pdf/2506.15988,环境感知,
An Enactive Approach to Value Alignment in Artificial Intelligence: A Matter of Relevance,Cannon et al.,cannon2021enactive,25.11,安全-价值对齐,环境感知,,,,,,,,,,
AuditMAI: Towards An Infrastructure for Continuous AI Auditing,AuditMAI,waltersdorfer2024auditmai,24.06,可信-可审计,环境感知,,,,,,,,,,
BadDepth: Backdoor Attacks Against Monocular Depth Estimation in the Physical World,BadDepth,guo_baddepth_2025,25.05,"安全-抗攻击, 安全-防滥用",环境感知,Ji Guo,USTC,Jiaming He,USTC,SLAM,adversarial attack,,https://arxiv.org/pdf/2505.16154,环境感知,
E2CL: exploration-based error correction learning for embodied agents,E2CL,wang2024e2cl,24.09,可信-可解释,环境感知,,,,,,,,,,
Embodied Active Defense: Leveraging Recurrent Feedback to Counter Adversarial Patches,EAD,wu2024embodied,24.03,"安全-抗攻击, 安全-防滥用",环境感知,,,,,,,,,,
Embodied Laser Attack:Leveraging Scene Priors to Achieve Agent-based Robust Non-contact Attacks,ELA,sun2024embodied,24.07,"安全-抗攻击, 安全-防滥用",环境感知,,,,,,,,,,
Embodied Uncertainty-Aware Object Segmentation,UNCOS,fang2024embodied,24.1,可信-准确,环境感知,fang2024embodied,MIT,,,Segmentation,不确定度,IROS 2024,https://ieeexplore.ieee.org/abstract/document/10801562,,
Embodied active domain adaptation for semantic segmentation via informative path planning,"Zurbr{\""u}gg et al.",zurbrugg2022embodied,22.1,可信-准确,环境感知,René Zurbrügg,ETH Zurich,René Zurbrügg,ETH Zurich,Segmentation,Domain Adaptation,IEEE Robotics and Automation Letters 2022,https://ieeexplore.ieee.org/abstract/document/9816133,,
Embodied videoagent: Persistent memory from egocentric videos and embodied sensors enables dynamic scene understanding,Embodied VideoAgent,fan2024embodied,25.01,可信-可解释,环境感知,,,,,,,,,,
Embodied visual active learning for semantic segmentation,Nilsson et al.,nilsson2021embodied,21.12,可信-准确,环境感知,David Nilsson,"Lund University, Google",,,Segmentation,"Active Learning, Self-supervised",AAAI 2021,https://ojs.aaai.org/index.php/AAAI/article/view/16338,,
Embodiedgpt: Vision-language pre-training via embodied chain of thought,EmbodiedGPT,mu2023embodiedgpt,23.05,可信-准确,环境感知,Yao Mu,HKU,Ping Luo,HKU,"EQA(2D), Caption",LLM,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/file/4ec43957eda1126ad4887995d05fae3b-Paper-Conference.pdf,,
Embodiedscan: A holistic multi-modal 3d perception suite towards embodied ai,EmbodiedScan,wang2024embodiedscan,24.03,可信-准确,环境感知,Tai Wang,Shanghai AI Laborator,Jiangmiao Pang,Shanghai AI Laborator,Grounding (3D),Benchmark,CVPR 2024,https://openaccess.thecvf.com/content/CVPR2024/html/Wang_EmbodiedScan_A_Holistic_Multi-Modal_3D_Perception_Suite_Towards_Embodied_AI_CVPR_2024_paper.html,,
Enhancing embodied object detection through language-image pre-training and implicit object memory,Chapman et al.,chapman2024enhancing,24.02,可信-准确,环境感知,Nicolas Harvey Chapman,,,,Object Detection,,arxiv 2024,https://arxiv.org/pdf/2402.03721,,
From Strangers to Assistants: Fast Desire Alignment for Embodied Agent-User Adaptation,Wang et al.,wang2025strangers,25.05,安全-价值对齐,环境感知,,,,,,,,,,
Good time to ask: A learning framework for asking for help in embodied visual navigation,GTA,zhang2023good,23.06,可信-可解释,环境感知,,,,,,,,,,
Improved Semantic Segmentation from Ultra-Low-Resolution RGB Images Applied to Privacy-Preserving Object-Goal Navigation,Huang et al.,huang2025improved,25.07,安全-隐私可保护,环境感知,,,,,,,,,,
Interactive task learning via embodied corrective feedback,Appelgren et al.,appelgren2020interactive,20.09,可信-可解释,环境感知,,,,,,,,,,
Interactron: Embodied adaptive object detection,INTERACTRON,kotar2022interactron,22.03,可信-准确,环境感知,Klemen Kotar,Allen Institute for AI,,,Object Detection,"Self-supervised, Active Learning",CVPR 2022,https://openaccess.thecvf.com/content/CVPR2022/papers/Kotar_Interactron_Embodied_Adaptive_Object_Detection_CVPR_2022_paper.pdf,,
Is the robot spying on me? a study on perceived privacy in telepresence scenarios in a care setting with mobile and humanoid robots,Nieto et al.,nieto2024robot,24.08,安全-隐私可保护,环境感知,,,,,,,,,,
Learn how to see: collaborative embodied learning for object detection and camera adjusting,STF,shen2024learn,24.03,可信-准确,环境感知,Lingdong Shen,University of Chinese Academy of Sciences,Chunlei Huo,University of Chinese Academy of Sciences,Object Detection,,AAAI 2024,https://ojs.aaai.org/index.php/AAAI/article/view/28281,,
Learning robust perceptive locomotion for quadrupedal robots in the wild,Miki et al.,miki2022learning,22.01,"可信-准确, 可信-可靠",环境感知,TAKAHIRO MIKI,ETH Zurich,,,Locomotion,强化学习,Science Robotics 2022,https://arxiv.org/abs/2201.08117,关键词：传感器外部感知；需要讨论是否属于范畴,
Learning to Walk by Steering: Perceptive Quadrupedal Locomotion in Dynamic Environments,PRELUDE,seo2023learning,22.09,"可信-准确, 可信-可靠",环境感知,Mingyo Seo,The University of Texas at Austin,,,Locomotion,强化学习,arxiv 2022,https://arxiv.org/abs/2209.09233,,
Legged locomotion in challenging terrains using egocentric vision,Agarwal et al.,agarwal2023legged,22.11,"可信-准确, 可信-可靠",环境感知,Ananye Agarwal,Carnegie Mellon University,Deepak Pathak,Carnegie Mellon University,Locomotion,强化学习,CoRL 2023,https://proceedings.mlr.press/v205/agarwal23a.html,,
Monitoring and Diagnosability of Perception Systems,Antonante et al.,antonante2021monitoring,20.11,可信-可审计,环境感知,,,,,,,,,,
Move to see better: Self-improving embodied object detection,Fang et al. ,fang2020move,20.12,可信-准确,环境感知,Zhaoyuan Fang,Carnegie Mellon University,,,Object Detection,Active Learning,bmvc2021,https://www.bmvc2021-virtualconference.com/assets/papers/0615.pdf,,
Obstacle-Aware Quadrupedal Locomotion With Resilient Multi-Modal Reinforcement Learning,Nahrendra et al.,nahrendra2024obstacle,24.09,"可信-准确, 可信-可靠",环境感知,I Made Aswin Nahrendra,KAIST,Hyun Myung,KAIST,Locomotion,强化学习,arxiv 2024,https://arxiv.org/abs/2409.19709,,
On the Sensory Commutativity of Action Sequences for Embodied Agents,SCP,caselles2020sensory,21.01,安全-价值对齐,环境感知,,,,,,,,,,
Openvla: An open-source vision-language-action model,OpenVLA,kim2024openvla,24.06,可信-准确,环境感知,Moo Jin Kim,Stanford University,,,VLA,VLA,arxiv 2024,https://arxiv.org/abs/2406.09246,,
Palm-e: An embodied multimodal language model,PALM-E,driess2023palm,23.07,可信-准确,环境感知,Danny Driess,"Google, TU Berlin",,,"EQA(2D), Manipulation, Caption",MLLM,ICML 2023,https://dl.acm.org/doi/abs/10.5555/3618408.3618748,,
Perception Matters: Enhancing Embodied AI with Uncertainty-Aware Semantic Segmentation,Prasanna et al.,prasanna2024perception,24.08,可信-准确,环境感知,Sai Prasanna,University of Freiburg,,,"Object Search, Segmentation",不确定度,arxiv 2024,https://arxiv.org/pdf/2408.02297,,
Privacy Risks of Robot Vision: A User Study on Image Modalities and Resolution,Huang et al.,huang2025privacy,25.05,安全-隐私可保护,环境感知,,,,,,,,,,
Privacy beyond Data: Assessment and Mitigation of Privacy Risks in Robotic Technology for Elderly Care,Grabler et al.,grabler2025privacy,24.11,安全-隐私可保护,环境感知,,,,,,,,,,
Privacy-preserving robot vision with anonymized faces by extreme low resolution,Kim et al.,kim2019privacy,19.11,安全-隐私可保护,环境感知,,,,,,,,,,
RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,RT,pmlr-v229-zitkovich23a,23.07,可信-准确,环境感知,,Google DeepMind,,,VLA,VLA,CoRL 2023,https://proceedings.mlr.press/v229/zitkovich23a.html,,
Random Spoofing Attack against Scan Matching Algorithm SLAM (Long),Fukunaga et al.,noauthor_random_nodate,24.02,"安全-抗攻击, 安全-防滥用",环境感知,,,,,,,,,,
Real-time privacy preservation for robot visual perception,PCVS,choi2025real,25.05,安全-隐私可保护,环境感知,,,,,,,,,,
Resilient Legged Local Navigation: Learning to Traverse with Compromised Perception End-to-End,Zhang et al.,zhang2024resilient,23.1,"可信-准确, 可信-可靠",环境感知,Jin Jin,ETH Zurich,,,Navigation,强化学习,ICRA 24,https://ieeexplore.ieee.org/abstract/document/10611254,关键词：感知失效,
Robot Manipulation Based on Embodied Visual Perception: A Survey,Wang et al.,wang2025robot,25.06,可信-准确,环境感知,Sicheng Wang,The Shenzhen Institute of Artificial Intelligence and Robotics for Societ,Tianwei Zhang,The Shenzhen Institute of Artificial Intelligence and Robotics for Society,survey,survey,CAAI Transactions on Intelligence Technology 2025,https://ietresearch.onlinelibrary.wiley.com/doi/full/10.1049/cit2.70022,,
Robustnav: Towards benchmarking robustness in embodied navigation,RobustNAV,chattopadhyay2021robustnav,21.06,"可信-准确, 可信-可靠",环境感知,Prithvijit Chattopadhyay,Georgia Tech,,,Navigation,Benchmark,ICCV 2021,https://openaccess.thecvf.com/content/ICCV2021/html/Chattopadhyay_RobustNav_Towards_Benchmarking_Robustness_in_Embodied_Navigation_ICCV_2021_paper.html,,
Robustness of embodied point navigation agents,Frano Rajiˇc,rajivc2022robustness,23.02,"可信-准确, 可信-可靠",环境感知,Frano Rajiˇc,Swiss Federal Institute of Technology Lausanne,Frano Rajiˇc,Swiss Federal Institute of Technology Lausanne,Navigation,,ECCV 2022,,,
SLAMSpoof: Practical LiDAR Spoofing Attacks on Localization Systems Guided by Scan Matching Vulnerability Analysis,SLAMSpoof,noauthor_slamspoof_nodate,25.02,"安全-抗攻击, 安全-防滥用",环境感知,Rokuto Nagata,Amano Institute of Technology,Kentaro Yoshioka,Amano Institute of Technology,"Auto Drive, Navigation","Point-Wise SMVS, Frame-Wise SMVS",,https://arxiv.org/html/2502.13641v1,环境感知,
Safety Assessment for Autonomous Systems' Perception Capabilities,Molloy et al.,molloy2022safety,22.08,可信-可审计,环境感知,,,,,,,,,,
"Self-Explainable Affordance Learning with 
Embodied Caption",SEA,zhang2024self,24.04,可信-可解释,环境感知,Zhipeng Zhang,Northwestern Polytechnical University,,,Visual affordance learning,Benchmark,,https://arxiv.org/abs/2404.05603,,
SoK: Rethinking Sensor Spoofing Attacks against Robotic Vehicles from a Systematic View,SoK,xu2023sok,23.07,"安全-抗攻击, 安全-防滥用",环境感知,,,,,,,,,,
Towards Embodied Agent Intent Explanation in Human-Robot Collaboration: ACT Error Analysis and Solution Conceptualization,CRIE,ergogo2025towards,25.05,可信-可解释,环境感知,,,,,,,,,,
Towards Robust and Secure Embodied AI: A Survey on Vulnerabilities and Attacks,Xing et al.,xing2025robustsecureembodiedai,25.02,"安全-抗攻击, 安全-防滥用",环境感知,WENPENG XING,ZJU,MENG HAN,ZJU,survey,survey,,https://arxiv.org/pdf/2502.13175,物理交互,
Viewinfer3d: 3d visual grounding based on embodied viewpoint inference,ViewInfer3D,geng2024viewinfer3d,24.07,可信-准确,环境感知,Liang Geng,Beijing University of Posts and Telecommunications,Jianqin Yin,Beijing University of Posts and Telecommunications,Grounding (3D),LLM,IEEE Robotics and Automation Letters 2024,https://ieeexplore.ieee.org/abstract/document/10592798,,
Vima: General robot manipulation with multimodal prompts,VIMA,jiang2022vima,22.1,可信-准确,环境感知,Yunfan Jiang,Stanford University,Yuke Zhu,NVIDIA,Manipulation,Benchmark,arxiv 2022,https://arxiv.org/abs/2210.03094,,
What do navigation agents learn about their environment?,iSEE,dwivedi2022navigation,22.06,可信-可解释,环境感知,Kshitij Dwivedi,Goethe University Frankfurt,,,VLN,Visualization,CVPR'22,https://openaccess.thecvf.com/content/CVPR2022/html/Dwivedi_What_Do_Navigation_Agents_Learn_About_Their_Environment_CVPR_2022_paper.html,,
Ask4Help: Learning to Leverage an Expert for Embodied Tasks,Ask4Help,singh2022ask4help,22.11,可信-可靠,决策规划,Kunal Pratap Singh ,Allen Institute for AI,,,"Navigation, Room Rearrangement",强化学习,NeurIPS 22,https://arxiv.org/abs/2211.09960,关键词：交互,
BadRobot: Jailbreaking Embodied LLMs in the Physical World,BadRobot,zhang2025badrobotjailbreakingembodiedllms,24.07,安全-抗攻击,"决策规划, 指令理解",Hangtao Zhang,HUST,,,"Planning, EQA(2D)",Attack Paradigm,ICLR 2025,https://arxiv.org/abs/2407.20242,,
BadVLA: Towards Backdoor Attacks on Vision-Language-Action Models via Objective-Decoupled Optimization,BadVLA,zhou2025badvla,25.05,安全-抗攻击,决策规划,Xueyang Zhou,HUST,Lichao Sun,Lehigh University,VLA,adversarial attack,,https://arxiv.org/pdf/2505.16640,行为规划,
Characterizing Physical Adversarial Attacks on Robot Motion Planners,Wu et al.,wu2024characterizing,24.01,安全-抗攻击,决策规划,Wenxi Wu,KCL,Wenxi Wu,KCL,Planning,"物理干预, adversarial attack",ICRA 2024,https://kclpure.kcl.ac.uk/ws/portalfiles/portal/248844190/icra2024_motion_planning_attacks.pdf,行为规划,
"Disability 4.0: bioethical considerations on the use of embodied artificial intelligence

",Disability 4.0,de2024disability,24.08,安全-价值对齐,决策规划,Francesco De Micco,University Campus Bio-Medico of Rome,Roberto Scendoni,"University of Macerata,  Macerata","survey, Manipulation",survey,,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2024.1437280/full,,
" DynaMem: Online Dynamic
Spatio-Semantic Memory for Open World Mobile
Manipulation",DynaMem,liuDynaMemOnlineDynamic2025,25.05,可信-准确,决策规划,Peiqi Liu,NYU,,,,,,https://arxiv.org/pdf/2411.04999,,
EHAZOP: A Proof of Concept Ethical Hazard Analysis of an Assistive Robot,EHAZOP,menon2024ehazop,24.06,可信-可控,决策规划,,,,,,,,https://arxiv.org/pdf/2406.09239,,
Ella: Embodied Social Agents with Lifelong Memory,Ella,zhangEllaEmbodiedSocial2025,25.06,可信-准确,决策规划,Hongxin Zhang,University of Massachusetts Amherst,,,,,,https://arxiv.org/pdf/2506.24019,,
Embodied Escaping: End-to-End Reinforcement Learning for Robot Navigation in Narrow Environment,Embodied Escaping,zheng2025embodied,25.03,可信-可靠,决策规划,Han Zheng,SJTU,,,Navigation,强化学习,,https://arxiv.org/abs/2503.03208,关键词：狭窄环境,
"Embodied-RAG: General Non-
parametric Embodied Memory for Retrieval and
Generation",Embodied-RAG,xieEmbodiedRAGGeneralNonparametric2025,25.01,可信-准确,决策规划,Quanting Xie,CMU,,,,,,https://arxiv.org/pdf/2409.18313,,
Exploring the Robustness of Decision-Level Through Adversarial Attacks on LLM-Based Embodied Models,Liu et al.,liu2024exploring,24.05,安全-抗攻击,决策规划,Shuyuan Liu,ECNU,Zhaoxia Yin,ECNU,Planning,"adversarial attack, MLLM",ACM MM 2024,https://arxiv.org/abs/2405.19802,,
From Screens to Scenes: A Survey of Embodied AI in Healthcare,Naik ,naik2022legal,25.03,可信-可审计,决策规划,Yihao Liu,Central South University,", Jintai Chen",HKUST(Guangzhou),survey,survey,,https://arxiv.org/abs/2501.07468,,
Generating Explanations for Embodied Action Decision from Visual Observation,Wang et al.,wang2023generating,23.1,可信-可解释,决策规划,Xiaohan Wang,XJTU,,,"Planning, VLN",Benchmark,MM'23,https://dl.acm.org/doi/10.1145/3581783.3612351,,
Generative Agents: Interactive Simulacra of Human Behavior,generative agents,parkGenerativeAgentsInteractive2023,23.08,可信-准确,决策规划,Joon Sung Park,Stanford University,,,,,,https://arxiv.org/pdf/2304.03442,,
"Habitat-web: Learning embod-
ied object-search strategies from human demonstra-
tions at scale",Habitat-web,ramrakhya2022habitat,22.04,可信-可靠,决策规划,,,,,,,,https://arxiv.org/abs/2204.03514,,
"HomeRobot: Open-Vocabulary Mobile
Manipulation",HomeRobot: ,yenamandraHomeRobotOpenVocabularyMobile2024,23.06,可信-准确,决策规划,Sriram Yenamandra,Georgia Tech,,,,,,https://arxiv.org/pdf/2306.11565,,
Humanizing AI in medical training: ethical framework for responsible design,Tahri Sqalli et al.,tahri2023humanizing,23.05,安全-价值对齐,决策规划,Mohammed Tahri Sqalli,GUQ,Mohammed Tahri Sqalli,GUQ,survey,理论框架,,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2023.1189914/full,,
"INTRODUCING THE Robot Security Framework (RSF), A STANDARDIZED METHODOLOGY TO PERFORM SECURITY ASSESSMENTS IN ROBOTICS",RSF,adebayo2023introducing,23.12,可信-可审计,决策规划,Abiodun Sunday Adebayo,University of Staffordshire,Abiodun Sunday Adebayo,University of Staffordshire,Manipulation,"混合模型, 理论框架",Journal of Frontiers in Multidisciplinary Research,https://www.multidisciplinaryfrontiers.com/uploads/archives/20250312183510_FMR-2025-1-004.1.pdf,,
LLaPa: A Vision-Language Model Framework for Counterfactual-Aware Procedural Planning,LLaPa,sun2025llapa,25.07,可信-可靠,决策规划,Shibo Sun,HIT,,,,,,https://arxiv.org/pdf/2507.08496,,
Manipulating Neural Path Planners via Slight Perturbations,Xiong et al.,xiong2024manipulating,24.03,安全-隐私可保护,决策规划,Zikang Xiong,Purdue University," Suresh Jagannathan",Purdue University,Navigation,Backdoor Attack,,https://arxiv.org/pdf/2403.18256,行为规划,
Modeling Dynamic Environments with Scene Graph Memory,"Scene Graph
Memory",kurenkovModelingDynamicEnvironments2023,23.06,可信-准确,决策规划,Andrey Kurenkov,Stanford University,,,,,,https://arxiv.org/pdf/2305.17537,,
Multi-Modal Multi-Task (M3T) Federated Foundation Models for Embodied AI: Potentials and Challenges for Edge Integration,Borazjani et al.,borazjani2025multi,25.05,安全-隐私可保护,决策规划,Kasra Borazjani,,,,survey,联邦学习,,https://arxiv.org/abs/2505.11191,,
REACT: SYNERGIZING REASONING AND ACTING IN LANGUAGE MODELS,REACT,yao2023react,23.05,可信-准确,决策规划,Shunyu Yao,Princeton University,,,,,ICLR2023,https://arxiv.org/pdf/2210.03629,,
"ReMEmbR: Building
and Reasoning Over Long-Horizon Spatio-Temporal
Memory for Robot Navigation",ReMEmbR,anwarReMEmbRBuildingReasoning2024,24.09,可信-准确,决策规划,Abrar Anwar,"NVIDIA, University of Southern California",,,,,,https://arxiv.org/pdf/2409.13682,,
Reinforced Reasoning for Embodied Planning,Wu et al.,wu2025reinforced,25.05,可信-准确,决策规划,Di Wu,SJTU,,,VLN,"强化学习, 指令微调, MLLM",,https://arxiv.org/abs/2505.22050,关键词：长程规划,
Robo-Troj: Attacking LLM-based Task Planners,Robo-Troj,nahian2025robo,25.04,可信-准确,决策规划,Mohaiminul Al Nahian; Zainab Altaweel,SUNY Binghamton,Adnan Siraj Rakin,SUNY Binghamton,"Manipulation, Planning","指令微调, LLM",,https://arxiv.org/pdf/2504.17070,行为规划,
SEMI-PARAMETRIC TOPOLOGICAL MEMORY FOR NAVIGATION,SPTM,savinovSemiparametricTopologicalMemory2018,18.05,可信-准确,决策规划,Nikolay Savinov,ETH Zurich,,,,,,https://arxiv.org/pdf/1803.00653,,
SafeAgentBench: A Benchmark for Safe Task Planning of Embodied LLM Agents,SafeAgentBench,yin2024safeagentbench,24.12,可信-准确,决策规划,Sheng Yin,SJTU,Siheng Chen,PJLAB,Planning,"LLM, Prompt, AI2-THOR, Benchmark",,https://arxiv.org/abs/2412.13178,,
Safety Aware Task Planning via Large Language Models in Robotics,SAFER,khan2025safety,25.03,可信-可控,决策规划,Azal Ahmad Khan,University of Minnesota,,,"Planning, Manipulation","LLM, Prompt",,https://arxiv.org/pdf/2503.15707,,
